id;question;answer;hint;global_rating
1;system deposit;digital protocol;Pants;88090
2;Car maximize Dam;Director cross-platform Practical;Rand;76606
3;Branding Baby Texas;Avon Louisiana;mission-critical;7983
4;systematic;gold partnerships;interface supply-chains;16451
5;card;Industrial Rubber Investment;Denmark backing;19416
6;Steel;Investment Kip Island;Buckinghamshire Colorado deposit;68413
7;Developer bandwidth Intranet;standardization payment engineer;payment;10310
8;Seamless Grove;Palestinian Coordinator Outdoors;TCP;54363
9;Oregon;attitude;Market Prairie Small;16495
10;Account;Books pixel;deposit;77543
